1.8479559502574021,
1.8960986785413518,
2.0782818396992733,
2.3242549978023046,
2.049866870730256,
2.2061696371939896,
1.8322463679426686,
1.7742800235518046,
1.809877415384374,
1.757756578267871,
1.7333181932086386,
1.7612718611606477,
1.7920713384964368,
1.928028756869731,
2.0032839849490642,
1.6273523786865776,
1.620463253560434,
1.9180227851747624,
2.0262565228522176,
1.6782171092612197,
1.544532675136179,
1.707465051080357,
1.4741180885420937,
1.3622402164337444,
1.7957232484388874,
1.629135283604217,
1.6472601899661885,
1.072373283402372,
1.1294032239111893,
1.1638201735039926,
1.081525577145332,
1.062432094216419,
1.105077905577394,
1.0379268350672617,
1.4010294939812866,
1.468144065544887,
1.1688573516487029,
1.1355314506388554,
0.7678159370680675,
0.9127541268223336,
1.0628972582642762,
1.0795306032874465,
1.1746938497436619,
0.8031065760674122,
0.9790908520365498,
0.9865944900721034,
0.9945630259338747,
0.812369032209305,
1.3130379659598326,
1.1715616484146862,
1.0591631629749183,
0.9255746165663055,
1.0726278279835264,
1.0042986637780265,
1.0770464633158132,
1.340839069540061,
1.0609736709179345,
1.2747957690802119,
1.0739466940348563,
1.289665363745017,
0.7572701758486633,
1.1755015458175841,
0.8042763922356672,
1.1211156805405378,
1.177429394123983,
0.8590140000799098,
1.052421808475467,
0.7876933414760865,
1.0986521682670427,
0.7547695195264739,
1.2092536826076055,
0.7280859446044978,
0.9702127747705196,
0.952687511480597,
0.8435467129773072,
0.8942367994247267,
0.8085285453908726,
0.9642047249125014,
0.9509923402472487,
0.8634018088694171,
1.0372207089188932,
0.8321661762000515,
0.8522773548988226,
1.223236884852665,
0.7443855031847257,
1.1714078890903916,
0.9978532213031542,
0.9820888223975236,
0.8506656572181367,
1.0397143541194651,
1.2671737439574982,
1.1954283828522145,
1.0678283809358864,
1.1540354125680492,
0.7814835589673612,
0.8864811016525469,
1.0964187072665772,
0.8853881976077189,
0.8647542417556062,
0.9126803776212011,
0.8007466483503332,
0.7138891298745166,
0.5088786172237463,
0.8810968743663542,
0.8276529772477874,
0.7178912886619253,
0.6620230516788084,
0.38782560453586024,
0.6675165626696447,
0.5410875885610962,
0.535086799958312,
0.2357161386314657,
0.02120812101519557,
-0.1153105735634966,
0.04339546670793352,
-0.20361767499221517,
0.09444762588344675,
0.14896868525324797,
0.2737975830416224,
-0.25441712789022153,
-0.054290555470331105,
0.007127570318927408,
-0.032804109995583385,
0.21727433178447597,
0.11178901786730563,
0.11761788250394278,
0.5393802367470754,
0.41717999498821423,
0.7471963225124129,
0.8550103957911573,
0.8573409228126451,
1.1417024777825702,
1.1655845453993248,
1.28026125397444,
1.41534842057384,
1.4392311944627663,
1.4397822410673424,
1.6549611475047235,
1.7952664019394475,
1.7067952006661053,
1.6293444484673756,
1.9860400065926538,
1.7198232837280882,
2.081241440999385,
1.9126196774676385,
1.9612770167780462,
2.250807793982366,
2.357451810635669,
1.8965061059067612,
2.2238123131205385,
2.3462849309413696,
1.9000515592274796,
2.234200840746304,
2.0233587308184444,
2.2425009041355697,
2.0035669401194593,
1.768925324102952,
2.0222651147901156,
1.8404030306348622,
1.8054474638203775,
1.9610417491763108,
1.6462294727963518,
1.7858754150985725,
1.7745351048739024,
1.5714130055894306,
1.5293742867960662,
1.2556299294695763,
1.7944825597051026,
1.5161175448691686,
1.447223783601088,
1.2932777242577491,
1.483571448928414,
1.592818455984261,
1.813928799152252,
1.5138026397381452,
1.4619949564209258,
1.2417247157685534,
1.2124108349450913,
0.9698948724014901,
1.3434396726324274,
1.456186164266561,
1.0204567218217158,
1.159301588299088,
1.8565103329910204,
1.4757914597809794,
1.1411530968271624,
1.0845215178377976,
0.9529212229039149,
1.147751138221117,
0.6970622077123851,
0.7117047355008219,
0.9160316799201047,
0.8716760796929789,
0.8337827209450294,
0.6491552874099045,
0.8353177641707944,
0.8356098231102923,
0.6571220303862677,
0.4604058459638368,
0.400846840433107,
0.5293258783614606,
0.6866351168349304,
0.7870928899384739,
0.4739410596679391,
0.36580555884191024,
0.4361573617375541,
0.5821801719406291,
0.6777711735622394,
0.8637786403729094,
0.48611647373585093,
0.04940311008964575,
0.42903971026925725,
-0.0021147245913889297,
0.21591580697084922,
0.3314406904580336,
-0.3026839370434004,
-0.25622460880182274,
-0.42688310022349457,
-0.12879528930658188,
-0.4762399674871418,
-0.16374038145266287,
-0.41977122135923284,
-0.40482807912686136,
-0.5678763739618492,
-0.06926427978310833,
-0.3250746899955918,
-0.2449529750368338,
-0.09210266557686964,
-0.4591113339794307,
-0.1402722898171486,
-0.022137275113421638,
-0.15891556672702653,
-0.15467174007638412,
-0.3531691039485406,
-0.44468196714349423,
-0.25849364814788844,
-0.21744612892160922,
-0.22883265134056277,
-0.25621243612215644,
-0.41060907366496624,
-0.5049115894940266,
-0.3557801488666329,
-0.3049942110185391,
-0.2709759443046145,
-0.3068103387415141,
-0.093112927648126,
-0.4586696445455647,
-0.5306080567500908,
-0.12611182494199188
